ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:35 757m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0.501,0.21081543,0.040991211
0.502,0.35534668,0.065600586
0.503,0.4979248,0.091381836
0.504,0.63659668,0.11599121
0.505,0.73815918,0.13630371
0.506,0.85339355,0.15974121
0.507,0.96862793,0.17888184
0.508,1.0994873,0.20114746
0.509,1.2049561,0.21794434
0.51,1.3104248,0.23552246
0.511,1.4061279,0.25075684
0.512,1.4588623,0.26286621
0.513,1.5447998,0.27575684
0.514,1.5740967,0.28356934
0.515,1.6229248,0.28981934
0.516,1.6541748,0.29333496
0.517,1.6541748,0.29724121
0.518,1.6737061,0.29567871
0.519,1.6658936,0.29294434
0.52,1.6307373,0.28825684
0.521,1.5994873,0.28122559
0.522,1.5408936,0.27028809
0.523,1.4744873,0.25817871
0.524,1.4022217,0.24645996
0.525,1.3006592,0.23044434
0.526,1.2108154,0.21208496
0.527,1.0936279,0.19138184
0.528,0.98034668,0.17145996
0.529,0.8729248,0.15231934
0.53,0.73034668,0.12849121
0.531,0.60144043,0.10388184
0.532,0.45495605,0.080444336
0.533,0.3104248,0.055444336
0.534,0.16394043,0.030834961
0.535,0.01159668,0.0034912109
0.536,-0.072387695,-0.016040039
0.537,-0.23449707,-0.042993164
0.538,-0.36730957,-0.066430664
0.539,-0.48254395,-0.088696289
0.54,-0.6427002,-0.11721191
0.541,-0.75598145,-0.13869629
0.542,-0.89074707,-0.16174316
0.543,-1.0196533,-0.18283691
0.544,-1.1212158,-0.20197754
0.545,-1.2423096,-0.22229004
0.546,-1.3262939,-0.23791504
0.547,-1.4259033,-0.25393066
0.548,-1.4923096,-0.26564941
0.549,-1.5352783,-0.27619629
0.55,-1.5958252,-0.28518066
0.551,-1.6348877,-0.29025879
0.552,-1.6622314,-0.29377441
0.553,-1.6700439,-0.29885254
0.554,-1.6719971,-0.29572754
0.555,-1.6602783,-0.29455566
0.556,-1.6407471,-0.28635254
0.557,-1.5860596,-0.28283691
0.558,-1.5333252,-0.27189941
0.559,-1.4669189,-0.25939941
0.56,-1.3907471,-0.24572754
0.561,-1.2989502,-0.22932129
0.562,-1.1973877,-0.21291504
0.563,-1.0880127,-0.19338379
0.564,-0.97473145,-0.17307129
0.565,-0.85949707,-0.15236816
0.566,-0.72668457,-0.12736816
0.567,-0.58410645,-0.10510254
0.568,-0.44152832,-0.078930664
0.569,-0.2911377,-0.053149414
0.57,-0.13684082,-0.026977539
0.571,0.017456055,-0.0015869141
0.572,0.16394043,0.026147461
0.573,0.30651855,0.053100586
0.574,0.45300293,0.078491211
0.575,0.5994873,0.10388184
0.576,0.72253418,0.12927246
0.577,0.8026123,0.14802246
0.578,0.93737793,0.17106934
0.579,1.0701904,0.19333496
0.58,1.1580811,0.21208496
0.581,1.2811279,0.23122559
0.582,1.3572998,0.24567871
0.583,1.4451904,0.25974121
0.584,1.5135498,0.27497559
0.585,1.5643311,0.28395996
0.586,1.6248779,0.29216309
0.587,1.6463623,0.29685059
0.588,1.6639404,0.30114746
0.589,1.6815186,0.30192871
0.59,1.6658936,0.30231934
0.591,1.6483154,0.29802246
0.592,1.6033936,0.29020996
0.593,1.5545654,0.28239746
0.594,1.5037842,0.27028809
0.595,1.4237061,0.25700684
0.596,1.3358154,0.24255371
0.597,1.2303467,0.22575684
0.598,1.1346436,0.20778809
0.599,1.0311279,0.18903809
0.6,0.9119873,0.16638184
0.601,0.78503418,0.14255371
0.602,0.64245605,0.11950684
0.603,0.5057373,0.093334961
0.604,0.36706543,0.069897461
0.605,0.20690918,0.042163086
0.606,0.068237305,0.015600586
0.607,-0.025512695,-0.0074462891
0.608,-0.18566895,-0.034399414
0.609,-0.28918457,-0.057055664
0.61,-0.44152832,-0.085180664
0.611,-0.58605957,-0.10900879
0.612,-0.7130127,-0.13127441
0.613,-0.85168457,-0.15588379
0.614,-0.9708252,-0.17775879
0.615,-1.0841064,-0.19963379
0.616,-1.2032471,-0.21838379
0.617,-1.2891846,-0.23791504
0.618,-1.3868408,-0.25275879
0.619,-1.4454346,-0.26643066
0.62,-1.5177002,-0.27814941
0.621,-1.5743408,-0.28986816
0.622,-1.6075439,-0.29377441
0.623,-1.6427002,-0.29846191
