ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:56:52 797m





Relative time,HS3(27295).Ch2
s,V
0.498,-0.031262207
0.499,-0.04942627
0.5,-0.067785645
0.501,-0.08536377
0.502,-0.10548096
0.503,-0.12227783
0.504,-0.13966064
0.505,-0.15255127
0.506,-0.16954346
0.507,-0.18380127
0.508,-0.19630127
0.509,-0.20841064
0.51,-0.21954346
0.511,-0.22891846
0.512,-0.23868408
0.513,-0.24708252
0.514,-0.25450439
0.515,-0.26251221
0.516,-0.26270752
0.517,-0.26895752
0.518,-0.26973877
0.519,-0.27091064
0.52,-0.26876221
0.521,-0.26817627
0.522,-0.26622314
0.523,-0.25880127
0.524,-0.25450439
0.525,-0.24766846
0.526,-0.24434814
0.527,-0.23087158
0.528,-0.22149658
0.529,-0.21094971
0.53,-0.19727783
0.531,-0.18282471
0.532,-0.16993408
0.533,-0.15626221
0.534,-0.13966064
0.535,-0.12501221
0.536,-0.10938721
0.537,-0.09317627
0.538,-0.07520752
0.539,-0.057824707
0.54,-0.03614502
0.541,-0.016223145
0.542,0.003894043
0.543,0.021081543
0.544,0.040026855
0.545,0.059753418
0.546,0.076159668
0.547,0.093347168
0.548,0.11092529
0.549,0.12869873
0.55,0.14608154
0.551,0.16053467
0.552,0.17518311
0.553,0.18983154
0.554,0.20155029
0.555,0.21307373
0.556,0.22342529
0.557,0.23436279
0.558,0.24197998
0.559,0.24998779
0.56,0.25584717
0.561,0.26385498
0.562,0.26639404
0.563,0.27010498
0.564,0.27127686
0.565,0.27186279
0.566,0.27088623
0.567,0.26834717
0.568,0.26619873
0.569,0.26131592
0.57,0.25545654
0.571,0.24822998
0.572,0.24002686
0.573,0.22830811
0.574,0.21756592
0.575,0.20408936
0.576,0.19276123
0.577,0.17791748
0.578,0.16561279
0.579,0.14920654
0.58,0.13455811
0.581,0.11854248
0.582,0.10096436
0.583,0.082800293
0.584,0.065612793
0.585,0.048815918
0.586,0.030456543
0.587,0.01072998
0.588,-0.007043457
0.589,-0.02442627
0.59,-0.044934082
0.591,-0.062316895
0.592,-0.081262207
0.593,-0.10216064
0.594,-0.11934814
0.595,-0.13731689
0.596,-0.15118408
0.597,-0.16485596
0.598,-0.18067627
0.599,-0.19512939
0.6,-0.20723877
0.601,-0.21719971
0.602,-0.22872314
0.603,-0.23907471
0.604,-0.24610596
0.605,-0.25430908
0.606,-0.26016846
0.607,-0.26387939
0.608,-0.26817627
0.609,-0.26895752
0.61,-0.26973877
0.611,-0.26856689
0.612,-0.26798096
0.613,-0.26055908
0.614,-0.26192627
0.615,-0.25606689
0.616,-0.24903564
0.617,-0.24317627
0.618,-0.23223877
0.619,-0.22149658
0.62,-0.20919189
0.621,-0.19532471
0.622,-0.18087158
0.623,-0.16739502
0.624,-0.15352783
0.625,-0.13594971
0.626,-0.11954346
0.627,-0.10216064
0.628,-0.084777832
0.629,-0.067980957
0.63,-0.048840332
0.631,-0.025598145
0.632,-0.0060668945
0.633,0.01463623
0.634,0.033190918
0.635,0.050964355
0.636,0.071081543
0.637,0.089440918
0.638,0.10740967
0.639,0.12440186
0.64,0.14393311
0.641,0.15916748
0.642,0.17498779
0.643,0.18924561
0.644,0.20174561
0.645,0.21463623
0.646,0.22733154
0.647,0.23944092
0.648,0.24744873
0.649,0.25682373
0.65,0.26365967
0.651,0.27069092
0.652,0.27381592
0.653,0.27830811
0.654,0.27967529
0.655,0.28026123
0.656,0.28065186
0.657,0.27889404
0.658,0.27459717
0.659,0.26951904
0.66,0.26229248
0.661,0.25662842
0.662,0.24998779
0.663,0.23885498
0.664,0.22850342
0.665,0.21639404
0.666,0.20369873
0.667,0.18924561
0.668,0.17518311
0.669,0.16112061
0.67,0.14393311
0.671,0.12889404
0.672,0.10936279
0.673,0.09276123
0.674,0.07479248
0.675,0.053894043
0.676,0.038659668
0.677,0.019909668
0.678,-0.00098876953
0.679,-0.020129395
0.68,-0.039074707
0.681,-0.055285645
0.682,-0.073059082
0.683,-0.091418457
0.684,-0.11251221
0.685,-0.12813721
0.686,-0.14395752
0.687,-0.15821533
0.688,-0.17286377
0.689,-0.18712158
0.69,-0.19884033
0.691,-0.20997314
0.692,-0.22071533
0.693,-0.22989502
0.694,-0.23985596
